Model,Params,FLOPs
CNN_Baseline,1.423M,41.028M
CNN_No_BN,1.422M,40.569M
CNN_AvgPool,1.423M,41.057M
CNN_No_BN_Avg,1.422M,40.598M
ResNet_Baseline,1.191M,158.092M
ResNet_No_Res,1.150M,153.701M
ResNet_No_BN,1.190M,157.175M
ResNet_No_BN_No_Res,1.148M,152.784M
VGG_Baseline,1.687M,59.020M
VGG_No_BN,1.685M,58.529M
VGG_AvgPool,1.687M,59.051M
VGG_NoPooling,1.687M,1.592G
